0	0.85	0.80	0.8814	0.95	1	0.64	4.52	0.008002359	1	3	13.255014
0	0.65	0.61	0.8886	2.17	1	1	4.96	0.006939282	1	1	20.271321
3	0.54	0.50	0.8634	2.12	1	0.88	4.71	0.012724217	0	1	21.221558
3	0.91	0.86	0.827	2.13	2	1	4.92	0.029062542	1	3	21.378372
2	0.66	0.62	0.8845	1.88	1	1	4.64	0.007252332	1	2	21.907821
2	0.75	0.71	0.8526	2.4		0.8	4.44	0.011511667	1	3	22.008907
6	0.71	0.65	0.7773	2.83	1	1	4.74	0.005583409	0	3	22.482184
6	0.54	0.51	0.9359	1.74	1	0.913	4.57	0.005904235	1	2	23.392745
4	0.48	0.45	0.8889	1.5	1	1	4.72	0.016205795	1	1	24.45084
0	0.48	0.46	0.8103	3.21	1	0.92	4.62	0.046061412	1	3	25.837408
0	0.72	0.70	0.8781	2	1	0.92	4.68	0.007031278	1	2	25.95274
0	0.91	0.87	0.7438	1.71	1	0.92	4.84	0.004654835	1	3	26.034742
1	0.54	0.50	0.8299	1.16	28	1	4.8	0.007854822	1	2	26.429614
0	0.44	0.42	0.881	2.4	1	1	4.71	0.010246938	1	1	26.737445
5	0.85	0.83	0.8525	1.78	2	0.96	5	0.007849335	1	2	26.809265
0	0.71	0.66	0.8831	1.69	8	0.96	4.69	0.011647234	0	2	26.997768
2	0.58	0.53	0.84	2.4	1	0.96	4.72	0.005803071	0	1	27.159287
4	0.46	0.41	0.8808	2.33	3	1	4.96	0.005464609	1	1	27.193006
0	0.85	0.81	0.8233	1.98	3	0.96	4.65	0.025307787	1	2	27.260549
5	0.69	0.64	0.8808	2.33	4	1	4.96	0.01344404	1	1	27.394099
4	0.94	0.93	0.8814	0.95	10.7	0.64	4.52	0.006789734	1	3	27.666952
4	0.94	0.89	0.828	1.79	4	1	4.88	0.007203978	1	1	27.974326
4	0.74	0.71	0.8639	1.46	8	0.96	4.8	0.02343875	1	2	28.318522
4	0.93	0.89	0.8589	1.29	4.2	1	4.64	0.016077734	1	2	28.353314
2	0.96	0.90	0.827	2.13	7	1	4.92	0.013011029	0	3	28.44493
6	0.75	0.69	0.8606	1.57	2	1	4.64	0.027551835	0	2	28.588639
2	0.73	0.71	0.8395	3.29		0.96	4.84	0.016388018	1	3	28.672071
